
START dramblast {

START Insert TEST {
#           time             counts unit events
     1.001923346        646,493,440      umc_cas_cmd.all                  #  41375.6 MB/s  umc_mem_bandwidth   
   116.281949424      1,005,010,367 ns   duration_time                                                         
   117.283490864      4,329,598,466      umc_cas_cmd.all                  # 277094.3 MB/s  umc_mem_bandwidth   
   117.283490864      1,001,541,440 ns   duration_time                                                         
   118.284944975      4,316,381,563      umc_cas_cmd.all                  # 276248.4 MB/s  umc_mem_bandwidth   
   118.284944975      1,001,454,111 ns   duration_time                                                         
   119.286942048      4,328,138,663      umc_cas_cmd.all                  # 277000.9 MB/s  umc_mem_bandwidth   
   119.286942048      1,001,997,073 ns   duration_time                                                         
   120.291950444      4,365,788,253      umc_cas_cmd.all                  # 279410.4 MB/s  umc_mem_bandwidth   
   120.291950444      1,005,008,396 ns   duration_time                                                         
   121.293475165      4,340,418,934      umc_cas_cmd.all                  # 277786.8 MB/s  umc_mem_bandwidth   
   121.293475165      1,001,524,721 ns   duration_time                                                         
   122.294944325      4,338,006,851      umc_cas_cmd.all                  # 277632.4 MB/s  umc_mem_bandwidth   
   122.294944325      1,001,469,160 ns   duration_time                                                         
   123.300528035      4,353,267,520      umc_cas_cmd.all                  # 278609.1 MB/s  umc_mem_bandwidth   
   123.300528035      1,005,583,710 ns   duration_time                                                         
   124.303930414      4,363,628,673      umc_cas_cmd.all                  # 279272.2 MB/s  umc_mem_bandwidth   
   124.303930414      1,003,402,379 ns   duration_time                                                         
   125.305525065      4,352,512,087      umc_cas_cmd.all                  # 278560.8 MB/s  umc_mem_bandwidth   
   125.305525065      1,001,594,651 ns   duration_time                                                         
   126.309939329      4,369,580,670      umc_cas_cmd.all                  # 279653.2 MB/s  umc_mem_bandwidth   
   126.309939329      1,004,414,264 ns   duration_time                                                         
   127.311498190      4,335,132,878      umc_cas_cmd.all                  # 277448.5 MB/s  umc_mem_bandwidth   
   127.311498190      1,001,558,861 ns   duration_time                                                         
